ID	脚本	剧情块	事件ID	指令序号	指令	简体中文
1	bmr	0	00002710	7	17	邪恶魔导师巴比迪……。
2	bmr	0	00002710	8	17	巴比迪放大了贝吉塔心中的邪念，\n并收集复活魔人布欧所需的\n能量。
3	bmr	0	00002710	14	12	贝吉塔\n被我放出来的魔人布欧，\n就由我来收拾……！
4	bmr	0	00002710	16	12	\n……魔人布欧很强。\n贝吉塔早已做好赴死的觉悟。
5	bmr	0	00002710	21	12	贝吉塔\n那张丑陋的蠢脸，\n就是魔人布欧吗……
6	bmr	0	00002710	24	12	魔人布欧\n唔！\n我生气啦——！\n杀了你——！
7	bmr	1	00002AF8	11	12	魔人布欧\n好痛啊……
8	bmr	1	00002AF8	14	12	魔人布欧\n我才不喜欢……\n你这家伙——！
9	bmr	1	00002AF8	32	12	\n就在这时，魔人布欧身上\n迸发出强烈的光芒。
10	bmr	1	00002AF8	33	12	\n贝吉塔勉强撑住后，\n使出了赌上性命的一击。
11	bmr	1	00002AF8	38	14	贝吉塔\n呜哦哦哦哦——！
12	bmr	1	00002AF8	55	17	魔人布欧看似被炸得粉碎，\n四散飞溅，\n却又让身体再生了。
13	bmr	1	00002AF8	62	12	\n获得特殊能力\n“再生能力”！
14	bmr	1	00002AF8	63	12	\n使用魔人布欧（善）时，\n气力达到100以上时，\n按L键！
15	bmr	2	00002711	9	17	魔人布欧在魔导师巴比迪的带领下\n四处行动。
16	bmr	2	00002711	10	17	并按照他的命令，\n把人们变成点心……
17	bmr	2	00002711	16	12	魔人布欧\n好！变成糖果吧！
18	bmr	2	00002711	30	12	\n他用吹出的气息摧毁了城市。
19	bmr	2	00002711	41	12	\n这时，悟空出现在了他的面前。
20	bmr	2	00002711	43	12	悟空\n我和贝吉塔都太小看你了……\n没想到魔人布欧这家伙，\n竟然强到了这种地步……
21	bmr	2	00002711	46	12	魔人布欧\n嘿嘿嘿嘿嘿……
22	bmr	2	00002711	54	12	悟空\n来吧……赶紧开打！
23	bmr	2	00002711	57	12	巴比迪\n干掉他，魔人布欧！
24	bmr	3	00002AF9	12	12	魔人布欧\n……不打了吗？\n和你打架很有意思。\n再打一会儿吧。
25	bmr	3	00002AF9	17	12	悟空\n那可真是我的荣幸。\n可我已经没时间了……\n抱歉啦。
26	bmr	3	00002AF9	23	12	\n悟空使用瞬间移动消失了。
27	bmr	3	00002AF9	25	12	巴比迪\n那家伙不是逃走了吗！\n都怪你磨磨蹭蹭的……\n你这个蠢货！
28	bmr	3	00002AF9	30	12	魔人布欧\n我想到一个好主意。\n你看……！
29	bmr	3	00002AF9	44	17	魔人布欧杀死了\n不停对他发号施令的巴比迪，\n重获自由。
30	bmr	4	00002712	9	17	魔人布欧摆脱了巴比迪的束缚。
31	bmr	4	00002712	10	17	他把破坏城镇当作消遣，\n饿了就把人们变成点心，\n再吃进肚子。
32	bmr	4	00002712	11	17	某一天……\n一个男人来到了魔人布欧面前。
33	bmr	4	00002712	17	12	撒旦先生\n出来吧，魔人布欧！\n撒旦先生大驾光临了！！\n看我把你打得落花流水！！
34	bmr	4	00002712	22	12	魔人布欧\n你好——！
35	bmr	4	00002712	27	12	撒旦先生\n……咿呀呀呀呀！！\n对、对不起，魔人布欧大人！！
36	bmr	4	00002712	28	12	撒旦先生\n刚……刚才那些话\n全都是假的，假的！！\n我一直很尊敬您啊——！！
37	bmr	4	00002712	31	12	魔人布欧\n这只狗受伤后被我治好了，\n就一直跟着我……也不害怕。\n它不逃跑，真没意思。
38	bmr	4	00002712	36	12	撒旦先生\n布欧大人这么温柔，\n还治好了它的伤，它当然喜欢您！
39	bmr	4	00002712	39	12	魔人布欧\n这样啊……\n那你也喜欢我吗？
40	bmr	4	00002712	44	12	撒旦先生\n当、当然喜欢！
41	bmr	4	00002712	47	12	魔人布欧\n嘿嘿……\n有点开心。
42	bmr	4	00002712	51	12	悟天克斯\n喂喂喂——！\n出来吧，魔人布欧！！\n悟天克斯大人驾到！！
43	bmr	4	00002712	54	12	魔人布欧\n你是谁？\n很强吗？
44	bmr	4	00002712	57	12	悟天克斯\n那还用说！
45	bmr	4	00002712	60	12	魔人布欧\n好，那我就毫发无伤地\n打倒你。
46	bmr	5	00002AFA	17	12	魔人布欧\n唔……唔唔……唔……\n快……逃……撒旦……！\n逃……远……一点……！
47	bmr	5	00002AFA	23	12	撒旦先生\n布欧先生！？
48	bmr	5	00002AFA	31	12	魔人布欧\n快点——！！！
49	bmr	5	00002AFA	43	14	魔人布欧\n嘎啊啊啊啊啊啊！
50	bmr	5	00002AFA	62	12	悟天克斯\n呜哇！\n那家伙不对劲！！！
51	bmr	5	00002AFA	68	17	魔人布欧强烈的愤怒，\n让沉睡在体内的邪恶不断膨胀，\n另一个魔人布欧从中分离而出。
52	bmr	5	00002AFA	69	17	与之前截然不同的纯粹邪恶，\n就此被释放到了世上。
53	bmr	5	00002AFA	76	12	\n新增角色\n“魔人布欧（恶）”！\n可在角色选择中使用！
54	bmr	6	00002EE2	11	12	悟天克斯\n疼疼疼……\n可恶，魔人布欧真不是一般的强！
55	bmr	6	00002EE2	14	12	撒旦先生\n嘎——哈哈哈哈！\n（就是现在！）\n接招……奇迹撒旦拳！
56	bmr	6	00002EE2	17	12	悟天克斯\n搞什么啊，大叔！
57	bmr	6	00002EE2	19	12	\n就在悟天克斯的一击\n即将打中撒旦脸庞的瞬间……！
58	bmr	6	00002EE2	21	12	魔人布欧\n不许欺负撒旦！
59	bmr	6	00002EE2	35	12	悟天克斯\n你给我记住——！
60	bmr	6	00002EE2	38	12	魔人布欧\n呼……\n那家伙还挺有意思的。
61	bmr	6	00002EE2	41	12	撒旦先生\n哪里哪里哪里！\n不愧是魔人布欧大人！！\n太感谢您了！
62	bmr	6	00002EE2	44	12	魔人布欧\n哼哼！
63	bmr	6	00002EE2	61	12	\n新增角色\n“撒旦先生”！\n可在角色选择中使用！
64	bmr	6	00002EE2	72	12	\n获得团队必杀技\n“撒旦大显身手”！
65	bmr	6	00002EE2	73	12	\n让魔人布欧（善）与撒旦先生\n组成队伍，并在气力达到200时，\n触摸团队必杀技按钮！
66	bmr	7	00002713	11	12	魔人布欧\n呜嘿嘿……嘿嘿嘿嘿……\n呀——哈哈哈哈！！\n……感觉到了……我感觉到了！！
67	bmr	7	00002713	23	12	比克\n糟、糟了！！\n这次的魔人布欧\n能够感知我们的气！
68	bmr	7	00002713	26	12	魔人布欧\n叫出来……
69	bmr	7	00002713	29	14	魔人布欧\n给我出来——！！！！！！！！
70	bmr	7	00002713	32	12	魔人布欧\n把强者叫出来！！\n不叫出来，我就杀了你们！！
71	bmr	7	00002713	35	12	比克\n可恶……跟我来。
72	bmr	7	00002713	45	12	悟天克斯\n锵锵锵锵——\n等你好久了，魔人布欧！！！
73	bmr	7	00002713	46	12	悟天克斯\n还以为我是以前的我，\n那你就大错特错了！
74	bmr	7	00002713	48	14	悟天克斯\n哈啊啊啊啊……！！！
75	bmr	7	00002713	56	12	魔人布欧\n嗯？好像变了一点……？\n算了……杀了你。\n嘻嘻嘻……
76	bmr	8	00002AFB	31	12	比克\n你到此为止了，魔人布欧……\n我已经毁掉连接这个世界\n与原来世界的唯一出入口。
77	bmr	8	00002AFB	32	12	比克\n无论你有多强，\n都不可能再从这里逃出去。
78	bmr	8	00002AFB	35	12	魔人布欧\n呜啊啊啊啊啊啊——！
79	bmr	8	00002AFB	39	14	魔人布欧\n我才不要——！！！！
80	bmr	8	00002AFB	56	12	比克\n怎……怎么可能……！！\n竟用如此惊人的气，\n在次元上打……打出了洞！！
81	bmr	8	00002AFB	57	12	比克\n幸好先消耗了他的体力……\n要是处于全盛状态，\n不知会贯穿多少层次元……！？
82	bmr	9	00002EE3	28	12	比克\n你到此为止了，魔人布欧……\n我已经毁掉连接这个世界\n与原来世界的唯一出入口。
83	bmr	9	00002EE3	29	12	比克\n无论你有多强，\n都不可能再从这里逃出去。
84	bmr	9	00002EE3	32	12	魔人布欧\n你说什——么！？
85	bmr	9	00002EE3	36	14	魔人布欧\n嘎啊啊啊啊啊啊！
86	bmr	9	00002EE3	53	12	比克\n怎……怎么可能……！！\n他竟……竟然用气的力量，\n打通了前往地狱的道路……
87	bmr	10	00002714	13	12	魔人布欧\n什么……？\n有一股强大的气正在靠近……
