priority	code_hex	native_character	page	x0	y0	x1	y1	status	original_status	safety_tier	arm9_aligned_le_hits	arm7_aligned_le_hits	warning
0	96A3	魅	5	15	15	29	29	reusable_full_cn	legacy_reusable	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
1	96C2	鳴	5	210	15	224	29	reusable_full_cn	legacy_reusable	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
2	E888	闊	5	210	120	224	134	reusable_full_cn	legacy_reusable	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
3	9AD0	墟	5	0	120	14	134	reusable_full_cn	legacy_reusable	B_zero_text_refs_binary_hits	1	0	Valid only for the current full-Chinese translation snapshot.
4	8145	・	0	159	75	173	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
5	814B	゜	0	234	75	248	89	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
6	814C	´	0	0	90	14	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
7	814D	｀	0	15	90	29	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
8	814F	＾	0	30	90	44	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
9	8151	＿	0	60	90	74	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
10	8152	ヽ	0	75	90	89	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
11	815B	ー	0	120	90	134	104	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
12	8161	‖	0	195	90	209	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
13	8162	｜	0	210	90	224	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
14	8165	‘	0	240	90	254	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
15	8166	’	0	0	105	14	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
16	816F	｛	0	60	105	74	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
17	8170	｝	0	75	105	89	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
18	8173	《	0	90	105	104	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
19	8174	》	0	105	105	119	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
20	8175	「	0	120	105	134	119	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
21	8176	」	0	135	105	149	119	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
22	8177	『	0	150	105	164	119	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
23	8179	【	0	180	105	194	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
24	817A	】	0	195	105	209	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
25	8182	≠	0	30	120	44	134	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
26	8187	∞	0	90	120	104	134	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
27	8190	＄	0	120	120	134	134	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
28	8192	£	0	135	120	149	134	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
29	8193	％	0	150	120	164	134	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
30	8197	＠	0	210	120	224	134	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
31	8199	☆	0	225	120	239	134	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
32	819A	★	0	240	120	254	134	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
33	819B	○	0	0	135	14	149	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
34	819E	◇	0	30	135	44	149	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
35	819F	◆	0	45	135	59	149	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
36	81A6	※	0	75	135	89	149	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
37	81A9	←	0	105	135	119	149	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
38	81AB	↓	0	135	135	149	149	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
39	81B9	∋	0	150	135	164	149	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
40	81C9	∨	0	195	135	209	149	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
41	81CD	∀	0	210	135	224	149	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
42	81DA	∠	0	225	135	239	149	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
43	81DF	≡	0	0	150	14	164	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
44	81E0	≒	0	15	150	29	164	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
45	81E2	≫	0	30	150	44	164	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
46	81E3	√	0	45	150	59	164	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
47	824F	０	0	75	150	89	164	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
48	8253	４	0	135	150	149	164	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
49	8254	５	0	150	150	164	164	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
50	8255	６	0	165	150	179	164	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
51	8257	８	0	195	150	209	164	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
52	8265	Ｆ	0	45	165	59	179	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
53	8267	Ｈ	0	75	165	89	179	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
54	826B	Ｌ	0	135	165	149	179	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
55	826D	Ｎ	0	165	165	179	179	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
56	826E	Ｏ	0	180	165	194	179	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
57	8270	Ｑ	0	210	165	224	179	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
58	8271	Ｒ	0	225	165	239	179	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
59	8273	Ｔ	0	0	180	14	194	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
60	8274	Ｕ	0	15	180	29	194	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
61	8275	Ｖ	0	30	180	44	194	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
62	8277	Ｘ	0	60	180	74	194	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
63	8283	ｃ	0	135	180	149	194	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
64	8287	ｇ	0	195	180	209	194	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
65	8289	ｉ	0	225	180	239	194	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
66	828B	ｋ	0	0	195	14	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
67	828C	ｌ	0	15	195	29	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
68	828E	ｎ	0	45	195	59	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
69	828F	ｏ	0	60	195	74	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
70	8291	ｑ	0	90	195	104	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
71	8295	ｕ	0	150	195	164	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
72	8296	ｖ	0	165	195	179	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
73	8297	ｗ	0	180	195	194	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
74	8299	ｙ	0	210	195	224	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
75	829F	ぁ	0	240	195	254	209	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
76	82A1	ぃ	0	15	210	29	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
77	82A3	ぅ	0	45	210	59	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
78	82A4	う	0	60	210	74	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
79	82A5	ぇ	0	75	210	89	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
80	82A6	え	0	90	210	104	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
81	82A7	ぉ	0	105	210	119	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
82	82A9	か	0	135	210	149	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
83	82AA	が	0	150	210	164	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
84	82AB	き	0	165	210	179	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
85	82AD	く	0	195	210	209	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
86	82AE	ぐ	0	210	210	224	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
87	82AF	け	0	225	210	239	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
88	82B0	げ	0	240	210	254	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
89	82B3	さ	0	30	225	44	239	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
90	82B5	し	0	60	225	74	239	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
91	82B6	じ	0	75	225	89	239	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
